  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:02 /sbin/init
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:00 [ksoftirqd/0]
    5 ?        S<     0:00 [kworker/0:0H]
    7 ?        S      0:01 [rcu_sched]
    8 ?        S      0:00 [rcu_bh]
    9 ?        S      0:00 [migration/0]
   10 ?        S      0:00 [watchdog/0]
   11 ?        S      0:00 [watchdog/1]
   12 ?        S      0:00 [migration/1]
   13 ?        S      0:00 [ksoftirqd/1]
   15 ?        S<     0:00 [kworker/1:0H]
   16 ?        S      0:00 [watchdog/2]
   17 ?        S      0:00 [migration/2]
   18 ?        S      0:00 [ksoftirqd/2]
   20 ?        S<     0:00 [kworker/2:0H]
   21 ?        S      0:00 [watchdog/3]
   22 ?        S      0:00 [migration/3]
   23 ?        S      0:00 [ksoftirqd/3]
   25 ?        S<     0:00 [kworker/3:0H]
   26 ?        S      0:00 [watchdog/4]
   27 ?        S      0:00 [migration/4]
   28 ?        S      0:00 [ksoftirqd/4]
   30 ?        S<     0:00 [kworker/4:0H]
   31 ?        S      0:00 [watchdog/5]
   32 ?        S      0:00 [migration/5]
   33 ?        S      0:00 [ksoftirqd/5]
   34 ?        S      0:00 [kworker/5:0]
   35 ?        S<     0:00 [kworker/5:0H]
   36 ?        S      0:00 [watchdog/6]
   37 ?        S      0:00 [migration/6]
   38 ?        S      0:00 [ksoftirqd/6]
   40 ?        S<     0:00 [kworker/6:0H]
   41 ?        S      0:00 [watchdog/7]
   42 ?        S      0:00 [migration/7]
   43 ?        S      0:00 [ksoftirqd/7]
   44 ?        S      0:00 [kworker/7:0]
   45 ?        S<     0:00 [kworker/7:0H]
   46 ?        S<     0:00 [khelper]
   47 ?        S      0:00 [kdevtmpfs]
   48 ?        S<     0:00 [netns]
   49 ?        S<     0:00 [writeback]
   50 ?        S<     0:00 [kintegrityd]
   51 ?        S<     0:00 [bioset]
   53 ?        S<     0:00 [kblockd]
   54 ?        S<     0:00 [ata_sff]
   55 ?        S      0:00 [khubd]
   56 ?        S<     0:00 [md]
   57 ?        S<     0:00 [devfreq_wq]
   58 ?        S      0:00 [kworker/0:1]
   60 ?        S      0:00 [khungtaskd]
   61 ?        S      0:00 [kswapd0]
   62 ?        SN     0:00 [ksmd]
   63 ?        SN     0:00 [khugepaged]
   64 ?        S      0:00 [fsnotify_mark]
   65 ?        S      0:00 [ecryptfs-kthrea]
   66 ?        S<     0:00 [crypto]
   78 ?        S<     0:00 [kthrotld]
   81 ?        S      0:00 [kworker/4:1]
   83 ?        S      0:00 [kworker/2:2]
  102 ?        S<     0:00 [deferwq]
  103 ?        S<     0:00 [charger_manager]
  110 ?        S      0:00 [kworker/3:1]
  282 ?        S      0:00 [scsi_eh_0]
  283 ?        S      0:00 [scsi_eh_1]
